Country,ID,Instrument,insID,idOrder,Type,Question,Answer,Sources,Comment,instrumentDF,filterCountry
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_1,1,General,Is the instrument available at national level?,Yes,Art. 81.1 of the Constitution; Law No. 54/2019 on the Legislative Initiative of Voters,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_2,2,General,Is there an explicit legal basis for this type of referendum?,Yes,Art. 81.1 of the Constitution; Law No. 54/2019 on the Legislative Initiative of Voters,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_3,4,Signature related,What is the total number of signatures required?,0.58,Art. 81.1 of the Constitution; Art. 4(2) of the Law No. 54/2019 on the Legislative Initiative of Voters,20000 voters,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_4,5,Signature related,Is there a territorial threshold for signature gathering?,No,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_5,6,Signature related,What is the time limit for collecting the required number of signatures (in days)?,-9999,Art. 13 of the Law No. 54/2019 on the Legislative Initiative of Voters,The CEC determines the time limit,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_6,7,Signature related,Are there any restrictions on where the signatures can be collected?,Yes,Art. 8 of the Law No. 54/2019 on the Legislative Initiative of Voters,"Signatures may be collected in public or private premises, which are assigned by decision of the head of the respective local government unit, on the proposal of the initiative committee",Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_7,8,Signature related,Do signatories have to provide identification documents in addition to personal information when signing the initiative?,Yes,Art. 10(3) of the Law No. 54/2019 on the Legislative Initiative of Voters,IC card or passport,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_8,9,Signature related,Is it possible to gather signatures electronically?,Yes,Art. 12 of the Law No. 54/2019 on the Legislative Initiative of Voters,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_9,10,Signature related,Are the signatures systematically verified?,Yes,Art. 14 of the Law No. 54/2019 on the Legislative Initiative of Voters,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_10,11,Signature related,Who checks the signatures?,Election commission,Art. 14 of the Law No. 54/2019 on the Legislative Initiative of Voters,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_11,12,Signature related,Is there a legal remedy against invalidation of signatures?,Yes,Art. 16 of the Law No. 54/2019 on the Legislative Initiative of Voters,Appeal before the administrative court,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_12,13,Formal procedure,Is there a formal admissibility check?,No,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_13,14,Formal procedure,Who decides about the formal admissibility?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_14,15,Formal procedure,Is there a legal remedy against the decision on formal admissibility?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_15,16,Formal procedure,Who decides about the claim for remedy in the formal admissibility procedure?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_16,17,Formal procedure,Who can initiate the formal remedy procedure (state actor - initiator - anyone)?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_17,18,Formal procedure,Does the formal admissibility procedure take place before the signature collection?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_18,19,Formal procedure,Is formal admissibility decided in a special procedure?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_19,20,Formal procedure,Do participants have a right to be heard in the formal admissibility procedure?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_20,21,Formal procedure,Is there an evidentiary procedure in the formal admissibility procedure?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_21,22,Formal procedure,Are the legal consequences of the formal admissibility procedures binding?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_22,23,Formal procedure,Is invalidity the legal consequence of formal inadmissibility?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_23,24,Substantive procedure,Is there a substantive admissibility check?,No,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_24,25,Substantive procedure,Who decides about the substantive admissibility?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_25,26,Substantive procedure,Is there a legal remedy against the decision on substantive admissibility?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_26,27,Substantive procedure,Who decides about the claim for remedy in the substantive admissibility procedure?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_27,28,Substantive procedure,Who can initiate the substantive remedy procedure (state actor - initiator - anyone)?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_28,29,Substantive procedure,Does the substantive admissibility procedure take place before the signature collection?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_29,30,Substantive procedure,Is substantive admissibility decided in a special procedure?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_30,31,Substantive procedure,Do participants have a right to be heard in the substantive admissibility procedure?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_31,32,Substantive procedure,Is there an evidentiary procedure in the substantive admissibility procedure?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_32,33,Substantive procedure,Are the legal consequences of the substantive admissibility procedure binding?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_33,34,Substantive procedure,Is invalidity the legal consequence of substantive inadmissibility?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_34,35,Formal limit,Does the proposal have to be submitted as a (draft) legal text?,Yes,Art. 81.1 of the Constitution; Art. 5(1) of the Law No. 54/2019 on the Legislative Initiative of Voters,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_35,36,Formal limit,Are there any formal limits on the wording of the referendum proposal?,Yes,Art. 5(2) of the Law No. 54/2019 on the Legislative Initiative of Voters,The draft law proposed must be drafted in accordance with the legal standards for drafting of normative acts,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_36,37,Formal limit,Is there a clarity of the question requirement?,No,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_37,38,Formal limit,Is there a unity of form requirement?,No,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_38,39,Formal limit,Is there a unity of substance requirement?,No,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_39,40,Formal limit,"Are there any other formal limits? If Yes, describe in comments.",No,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_40,44,Substantive limit,Can only issues of special importance be the subject of referendums?,No,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_41,45,Substantive limit,Can only certain enumerated issues be the subject of referendums?,No,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_42,46,Substantive limit,Are there any prohibited issues?,Yes,Art. 5(2) of the Law No. 54/2019 on the Legislative Initiative of Voters,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_43,47,Substantive limit,Are referendums on constitutional amendments prohibited?,Yes,Art. 5(2) of the Law No. 54/2019 on the Legislative Initiative of Voters,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_44,48,Substantive limit,Are referendums related to international law obligations prohibited?,NA,NA,NA,Agenda_initiative,Yes
