rowid,ID,Country,Type,Date,Year,Title,Outcome
5149,Italy Rejective,Italy,Rejective,1996-12-11,1996,"Enel: Abolizione Riserva delle Attività di Produzione,Importazione, Esportazione, Trasporto, Trasformazione, Distribuzione e Vendita dell'Energia Elettrica.",FailedPostSignature
5150,Italy Rejective,Italy,Rejective,2008-12-16,2008,Abolizione Ordine dei Giornalisti,FailedPostSignature
5151,Italy Rejective,Italy,Rejective,2008-12-16,2008,Abolizione della Legge Gasparri,FailedPostSignature
5152,Italy Rejective,Italy,Rejective,2008-12-16,2008,Abolizione Provvidenze all'Editoria,FailedPostSignature
5153,Italy Rejective,Italy,Rejective,2013-11-15,2013,"Abrogazione della Legge 18 Novembre 1981, nr. 659",FailedPostSignature
5154,Italy Rejective,Italy,Rejective,2013-11-15,2013,"Abrogazione della Legge 31 Ottobre 1965, nr. 1261",FailedPostSignature
5155,Italy Rejective,Italy,Rejective,2013-11-15,2013,"Abrogazione dell'Articolo 8 del Decreto Legge 13 Agosto 2011, nr. 138",FailedPostSignature
5156,Italy Rejective,Italy,Rejective,2013-11-15,2013,"Abrogazione dell'Articolo 18 della Legge 20 maggio 1970, nr. 300",FailedPostSignature
5157,Italy Rejective,Italy,Rejective,2014-12-15,2014,"Abrogazione del D.l. nr. 122 del 26 aprile 1993 contenente Misure Urgenti in Materia di Discriminazione Razziale, Etnica e Religiosa",FailedPostSignature
5158,Italy Rejective,Italy,Rejective,2014-12-15,2014,Abrogazioni Norme Concernenti le Prefetture,FailedPostSignature
5159,Italy Rejective,Italy,Rejective,2014-12-15,2014,"Abrogazione Legge 20 febbraio 1958 nr. 75 recante ""Abolizione della Regolamentazione della Prostituzione e della Lotta Contro lo Sfruttamento Altrui""",FailedPostSignature
5160,Italy Rejective,Italy,Rejective,2016-11-15,2016,Abrogazione delle Norme sui Finanziamenti Privati a Singole Scuola Pubbliche o Private,FailedPostSignature
5161,Italy Rejective,Italy,Rejective,2016-11-15,2016,Abrogazione Norme sul Potere Discrezionale del Dirigente Scolastico di Scegliere e Confermare i Docenti nella Sede,FailedPostSignature
5162,Italy Rejective,Italy,Rejective,2016-11-15,2016,Abrogazione di Norme sull'Obbligo di Almeno 400-200 Ore di Alternanza Scuola-Lavoro,FailedPostSignature
5163,Italy Rejective,Italy,Rejective,2016-11-15,2016,Abrogazione Norme sul Potere del Dirigente di Scegliere i Docenti da Premiare Economicamente e sul Comitato di Valutazione,FailedPostSignature
5434,Italy Agenda,Italy,Agenda,2013-04-25,2013,Establishment of guaranteed minimum income,FailedPostSignature
7429,Slovenia Rejective,Slovenia,Rejective,2002-05-16,2002,law on the temporary ban on the privatization of Nova Ljubljanska banka and Nova Kreditna banka Maribor.,PreAdmissible_FailedPostSignature
4,Austria Agenda,Austria,Agenda,1991-11-11,1991,Volksbegehren für eine Volksabstimmung über einen Beitritt zum Europäischen Wirtschaftsraum,PreAdmissibile_SuccPostSignature
5,Austria Agenda,Austria,Agenda,1993-01-25,1993,Österreich zuerst,PreAdmissibile_SuccPostSignature
6,Austria Agenda,Austria,Agenda,1995-06-12,1995,Pro Motorrad,PreAdmissible_FailedPostSignature
7,Austria Agenda,Austria,Agenda,1996-03-18,1996,Tierschutz-Volksbegehren,PreAdmissibile_SuccPostSignature
8,Austria Agenda,Austria,Agenda,1996-03-18,1996,Neutralitäts-Volksbegehren,PreAdmissibile_SuccPostSignature
9,Austria Agenda,Austria,Agenda,1997-04-07,1997,Gentechnik-Volksbegehren,PreAdmissibile_SuccPostSignature
10,Austria Agenda,Austria,Agenda,1997-04-07,1997,Frauen-Volksbegehren,PreAdmissibile_SuccPostSignature
11,Austria Agenda,Austria,Agenda,1997-11-24,1997,"Volksbegehren ""Schilling- Volksabstimmung""",PreAdmissibile_SuccPostSignature
